player_id,player_name,team,season,proj_target_share_next,proj_carry_share_next,targets,rush_att,team_targets,team_carries
00-0029587,R.Ellison,NYG,2019,0.0763646922183507,0.0,3.0,0.0,38.0,17.0
00-0029604,K.Cousins,MIN,2019,0.0111111111111111,0.0436936936936936,0.0,0.0,29.0,10.0
00-0029604,K.Cousins,MIN,2020,0.0,0.0862193362193362,0.0,5.0,38.0,31.0
00-0029604,K.Cousins,MIN,2021,0.0,0.0993265993265993,0.0,1.0,21.0,22.0
00-0029604,K.Cousins,MIN,2022,0.0,0.0675438596491228,1.0,1.0,39.0,16.0
00-0029604,K.Cousins,MIN,2023,0.0,0.1176046176046176,0.0,2.0,34.0,31.0
00-0029604,K.Cousins,ATL,2024,0.0,0.0248820248820248,0.0,3.0,16.0,37.0
00-0029608,T.Hilton,IND,2019,0.2297979797979797,0.0,3.0,0.0,24.0,27.0
00-0029608,T.Hilton,IND,2020,0.2273365579653612,0.0,5.0,0.0,43.0,30.0
00-0029608,T.Hilton,IND,2021,0.1289682539682539,0.0,5.0,0.0,29.0,18.0
00-0029608,T.Hilton,DAL,2022,0.1193541102077687,0.0,1.0,0.0,37.0,22.0
00-0029615,L.Miller,CHI,2020,0.0689655172413793,0.0,2.0,0.0,29.0,17.0
00-0029623,A.Tanney,NYG,2019,0.0,0.0,0.0,0.0,29.0,33.0
00-0029632,M.Sanu,NE,2019,0.2047926929392446,0.0,5.0,0.0,35.0,22.0
00-0029632,M.Sanu,DET,2020,0.1070333491386122,0.0,6.0,1.0,31.0,22.0
00-0029632,M.Sanu,SF,2021,0.0974426807760141,0.0,3.0,0.0,39.0,11.0
00-0029664,J.Gordon,SEA,2019,0.0902432459234703,0.0,1.0,0.0,25.0,34.0
00-0029664,J.Gordon,KC,2021,0.0897412256438625,0.0,1.0,0.0,42.0,29.0
00-0029664,J.Gordon,TEN,2022,0.0434782608695652,0.0,1.0,0.0,23.0,27.0
00-0029665,R.Griffin,BAL,2019,0.0,0.0690580286168521,0.0,8.0,20.0,44.0
00-0029665,R.Griffin,BAL,2020,0.0,0.0562499999999999,0.0,7.0,18.0,28.0
00-0029692,B.Anger,HOU,2019,0.0,0.0416666666666666,0.0,1.0,33.0,24.0
00-0029692,B.Anger,DAL,2021,0.0,0.0,0.0,0.0,42.0,21.0
00-0029692,B.Anger,DAL,2022,0.0,0.037037037037037,0.0,1.0,36.0,27.0
00-0029692,B.Anger,DAL,2023,0.0,0.0,0.0,0.0,36.0,30.0
00-0029692,B.Anger,DAL,2024,0.0,0.0,0.0,0.0,54.0,18.0
00-0029701,R.Tannehill,TEN,2019,0.0,0.1301224301224301,0.0,3.0,32.0,23.0
